address,cash_in,city_id,day_1_close_time,day_1_customer_close,day_1_customer_open,day_1_is_open,day_1_name,day_1_open_time,day_2_close_time,day_2_customer_close,day_2_customer_open,day_2_is_open,day_2_name,day_2_open_time,day_3_close_time,day_3_customer_close,day_3_customer_open,day_3_is_open,day_3_name,day_3_open_time,day_4_close_time,day_4_customer_close,day_4_customer_open,day_4_is_open,day_4_name,day_4_open_time,day_5_close_time,day_5_customer_close,day_5_customer_open,day_5_is_open,day_5_name,day_5_open_time,day_6_close_time,day_6_customer_close,day_6_customer_open,day_6_is_open,day_6_name,day_6_open_time,day_7_close_time,day_7_customer_close,day_7_customer_open,day_7_is_open,day_7_name,day_7_open_time,id,is_digital,is_nfc,is_open,latitude,longitude,name,notes,slug,type,work_hours_saturday,work_hours_sunday,work_hours_week,working_weekends
,0,3,,,,0,Bazar ertəsi,,,,,0,Çərşənbə axşamı,,,,,0,Çərşənbə,,,,,0,Cümə axşamı,,,,,0,Cümə,,,,,0,Şənbə,,,,,0,Bazar,,21,0,0,0,40.05241232725276,47.46057999031279,Ağcabədi filialı,,agcabedi-rayon-filiali,B,qeyri-iş günü,qeyri-iş günü,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),0
"Ağsu şəhəri, H. Əliyev küçəsi 109",0,7,18:00,17:00,09:00,1,Bazar ertəsi,09:00,18:00,17:00,09:00,1,Çərşənbə axşamı,09:00,18:00,17:00,09:00,1,Çərşənbə,09:00,18:00,17:00,09:00,1,Cümə axşamı,09:00,18:00,17:00,09:00,1,Cümə,09:00,,,,0,Şənbə,,,,,0,Bazar,,38,0,0,1,40.56702106182912,48.402716309069646,Ağsu filialı,,agsu-filiali,B,qeyri-iş günü,qeyri-iş günü,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),0
"Abşeron rayonu, Xırdalan şəhəri, Qəzənfər Musabəyov küçəsi bina 22",0,2,18:30,19:00,08:00,1,Bazar ertəsi,08:00,18:30,19:00,08:00,1,Çərşənbə axşamı,08:00,18:30,19:00,08:00,1,Çərşənbə,08:00,18:30,19:00,08:00,1,Cümə axşamı,08:00,18:30,19:00,08:00,1,Cümə,08:00,14:00,19:00,10:00,0,Şənbə,10:00,,,,0,Bazar,,77,0,0,1,40.4528598257688,49.75130830597639,Abşeron filialı,,absheron-rayon-filiali,B,qeyri-iş günü,qeyri-iş günü,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),1
"Bakı şəhəri, Qaradağ rayonu, Lökbatan qəsəbəsi (Sədərək Ticarət Mərkəzi daxilində)",0,1,18:00,17:00,09:00,1,Bazar ertəsi,09:00,18:00,17:00,09:00,1,Çərşənbə axşamı,09:00,18:00,17:00,09:00,1,Çərşənbə,09:00,18:00,17:00,09:00,1,Cümə axşamı,09:00,18:00,17:00,09:00,1,Cümə,09:00,,,,0,Şənbə,,,,,0,Bazar,,78,0,0,1,40.3317261,49.7814293,Ticarət filialı,,ticaret-filiali,B,qeyri-iş günü,qeyri-iş günü,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),0
"Bakı şəhəri, Nəsimi rayonu, Bülbül prospekti 60",0,1,17:00,17:00,09:00,1,Bazar ertəsi,09:00,17:00,17:00,09:00,1,Çərşənbə axşamı,09:00,17:00,17:00,09:00,1,Çərşənbə,09:00,17:00,17:00,09:00,1,Cümə axşamı,09:00,17:00,17:00,09:00,1,Cümə,09:00,,,,0,Şənbə,,,,,0,Bazar,,89,0,0,1,40.38107163735132,49.84152146574979,Fərdi Bankçılıq bölməsi,,ferdi-bankciliq-bolmesi,B,,,09:00-17:00,0
"Bakı şəhəri, Nizami rayonu, Heydər Əliyev prospekti 172",0,1,19:00,18:00,10:00,1,Bazar ertəsi,10:00,19:00,18:00,10:00,1,Çərşənbə axşamı,10:00,19:00,18:00,10:00,1,Çərşənbə,10:00,19:00,18:00,10:00,1,Cümə axşamı,10:00,19:00,18:00,10:00,1,Cümə,10:00,19:00,19:00,10:00,1,Şənbə,10:00,19:00,19:00,10:00,1,Bazar,10:00,90,0,0,1,40.4183807,49.9124985,Bravo 3 filialı,,bravo-3-filiali,B,10:00-19:00 (Müştərilərə xidmət vaxtı 10:00-19:00),10:00-19:00 (Müştərilərə xidmət vaxtı 10:00-19:00),10:00-19:00 (Müştərilərə xidmət vaxtı 10:00-18:00),1
"Bakı şəhəri, Səbail rayonu, Bülbül prospekti 18A",0,1,18:00,17:00,09:00,1,Bazar ertəsi,09:00,18:00,17:00,09:00,1,Çərşənbə axşamı,09:00,18:00,17:00,09:00,1,Çərşənbə,09:00,18:00,17:00,09:00,1,Cümə axşamı,09:00,18:00,17:00,09:00,0,Cümə,09:00,19:00,19:00,10:00,0,Şənbə,10:00,19:00,19:00,10:00,0,Bazar,10:00,131,0,0,1,40.37214295893622,49.844818650842384,Sahil filialı,,sahil-filiali-907,B,10:00-19:00 (Müştərilərə xidmət vaxtı 10:00-19:00),10:00-19:00 (Müştərilərə xidmət vaxtı 10:00-19:00),09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),1
"Bakı şəhəri, Nizami rayonu, R. Rüstəmov küçəsi, 44D",0,1,18:00,17:00,09:00,1,Bazar ertəsi,09:00,18:00,17:00,09:00,1,Çərşənbə axşamı,09:00,18:00,17:00,09:00,1,Çərşənbə,09:00,18:00,17:00,09:00,1,Cümə axşamı,09:00,18:00,17:00,09:00,1,Cümə,09:00,,,,0,Şənbə,,,,,0,Bazar,,133,0,0,1,40.4095099423086,49.94256914321402,Neftçilər filialı,,neftciler-kart-merkezi-filiali-904,B,qeyri-iş günü,qeyri-iş günü,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),0
"Nərimanov rayonu, Həsən Əliyev küçəsi, 889-cu məhəllə, ev 82",0,1,18:00,17:00,09:00,1,Bazar ertəsi,09:00,18:00,17:00,09:00,1,Çərşənbə axşamı,09:00,18:00,17:00,09:00,1,Çərşənbə,09:00,18:00,17:00,09:00,1,Cümə axşamı,09:00,18:00,17:00,09:00,1,Cümə,09:00,,,,0,Şənbə,,,,,0,Bazar,,174,0,0,1,40.401912418946644,49.84833954584166,Gənclik filialı,,genclik-filiali-615,B,qeyri-iş günü,qeyri-iş günü,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),0
"Bаkı şəhəri, Qaradağ rayonu, Bünyadzadə küçəsi",0,1,18:00,17:00,09:00,1,Bazar ertəsi,09:00,18:00,17:00,09:00,1,Çərşənbə axşamı,09:00,18:00,17:00,09:00,1,Çərşənbə,09:00,18:00,17:00,09:00,1,Cümə axşamı,09:00,18:00,17:00,09:00,1,Cümə,09:00,,,,0,Şənbə,,,,,0,Bazar,,175,0,0,1,40.32220659807489,49.73087716163619,Qaradağ filialı,,qaradag-rayon-filiali-614,B,qeyri-iş günü,qeyri-iş günü,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),0
"Suraxanı rayonu, Əmircan qəsəbəsi, Vladimir Balandin küçəsi 44",0,1,18:00,17:00,09:00,1,Bazar ertəsi,09:00,18:00,17:00,09:00,1,Çərşənbə axşamı,09:00,18:00,17:00,09:00,1,Çərşənbə,09:00,18:00,17:00,09:00,1,Cümə axşamı,09:00,18:00,17:00,09:00,1,Cümə,09:00,,14:00,10:00,0,Şənbə,,,,,0,Bazar,,178,0,0,1,40.42186059408622,50.001500486483565,Suraxanı filialı,,suraxani-rayon-filiali-611,B,qeyri-iş günü,qeyri-iş günü,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),1
"Nizami rayonu, 8-ci km qəsəbəsi, B. Nuriyev küçəsi 10A",0,1,18:00,17:00,09:00,1,Bazar ertəsi,09:00,18:00,17:00,09:00,1,Çərşənbə axşamı,09:00,18:00,17:00,09:00,1,Çərşənbə,09:00,18:00,17:00,09:00,1,Cümə axşamı,09:00,18:00,17:00,09:00,1,Cümə,09:00,,,,0,Şənbə,,,,,0,Bazar,,181,0,0,1,40.397417399094344,49.946291728975744,Xalqlar Dostluğu filialı,,xalqlar-filiali,B,qeyri-iş günü,qeyri-iş günü,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),0
